date,title,amount
2025-12-01,Chefs Delivery,108.49
2025-12-01,Pagamento recebido,-430.00
2025-12-01,Vila Amazonas,17.90
2025-12-01,Drogaria Araujo S. A -,86.85
2025-11-27,Vila Victoria,57.91
2025-11-25,Posto Trovao,20.00
2025-11-25,Vila Victoria,50.00
2025-11-25,Localiza Rent A Car - Parcela 1/3,87.74
2025-11-25,Posto6mil,136.40
2025-11-24,Auto Posto Concha da L,111.14
2025-11-24,Postobello Ii Comerci,201.92
2025-11-24,Emporio Palmyra,89.70
2025-11-24,99 - NuPay,5.00
2025-11-23,Adobe,75.00
2025-11-22,Nosso Bar,145.80
2025-11-21,Vila Amazonas,64.24
2025-11-21,Posto Route,134.28
2025-11-20,Mart Minas,139.83
2025-11-19,99 - NuPay,17.16
2025-11-19,Apple.Com/Bill,49.90
2025-11-18,Mp *Angradosreisturis - Parcela 1/6,38.60
2025-11-10,LUIZA MEDEIROS ALVES DE FARIA,69.42
2025-11-10,BMI SERVICOS DIGITAIS LTDA,155.36
2025-11-10,iFood - NuPay - 1/2,29.09
2025-11-08,99 - NuPay,14.25
2025-11-08,Mercadolivre*5produtos - Parcela 1/10,35.15
2025-11-08,99 - NuPay,22.95
2025-11-08,Mercadolivre*5produto - Parcela 1/10,42.34
2025-11-08,Ebn *Spotify,23.90
2025-11-07,Apple.Com/Bill,66.90
2025-11-06,99 - NuPay,19.71
2025-11-05,Pagamento recebido,-2700.00
2025-11-05,"IOF de ""Github Inc.""",1.96
2025-11-05,Github Inc.,56.00
2025-11-04,Ifd*Ifood Club,5.95
2025-11-03,Supermercado Pejoal - Parcela 2/2,59.50
2025-11-03,Supermercados Bh - Parcela 2/3,59.03
2025-11-03,Mp *Melimais,8.90
2025-11-03,Herbert Moises Marcelino Filho - 2/5,70.34
2025-11-03,Airbnb * Hmjqt8jjb4 - Parcela 2/6,176.03
2025-11-03,Herbert Moises Marcelino Filho - 6/8,18.64
2025-11-03,Mp *Aliexpress - Parcela 2/6,45.44
2025-11-03,Parcelamento de Compra - Steam Purchase - 12/12,24.60
2025-11-03,Mp *Dadamotos - Parcela 4/5,140.41
